#l1 l2 l3 l4 mom1 mom2 mom3 mom4 f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12 f13 f14 f15 f16 f17 f18 f19 f20
5.1126452615601080e-02 3.1995622173472169e-02 -6.3928250161056650e-03 -2.7139717167936278e-03 -5.9379227727523560e-16 1.0000000000000033e+00 1.1078025555462225e-02 3.1528363002281465e+00 5.2296169534197614e-20 5.4990780410842625e-19 3.0289960009395508e-17 6.0963754148169526e-15 2.8034029562265003e-12 1.7541627088672218e-09 9.2061387386255499e-07 3.0456529970419323e-04 3.1203044443557062e-02 2.8241225216205185e-01 3.1379476879119339e-01 2.8292819144929992e-02 9.5504393028576361e-04 9.9744093004175466e-06 4.4229120781309196e-08 1.3442475604350556e-10 4.8425399484542671e-13 3.5447255161104684e-15 8.4456525647552429e-17 9.3575504652252569e-18
1.0429194913201482e-01 9.3314775298568492e-02 -3.5787235884664941e-03 -2.8006993428865215e-03 1.2734430837115143e-16 9.9999999999999944e-01 -5.6360076138820248e-01 4.6729567129455925e+00 1.7483716289497388e-11 6.6504541214722316e-11 6.4256282431092471e-10 1.2675247183519575e-08 3.8250195129623683e-07 1.2680160834658041e-05 3.2805365415499994e-04 4.8855977848415808e-03 3.7731833652466511e-02 2.2575398327024115e-01 3.4293191083468810e-01 1.9688036805360049e-02 1.0861034177800006e-03 3.8357644867253664e-05 8.7100558147376186e-07 1.6511446964983233e-08 3.7019091855740953e-10 1.3793411745222604e-11 1.1481343907723493e-12 2.6696545291566714e-13
3.9939695921321239e-02 6.2211570062790988e-02 -2.4838789256283141e-03 -2.5954895493675279e-03 -8.0381694191075369e-17 9.9999999999999989e-01 -3.2503634776583185e-01 4.1174573872077582e+00 1.8495608388150699e-12 7.9224228607578099e-12 9.3783908400612093e-11 2.4244499987962585e-09 1.0026853205265970e-07 4.6414467034772233e-06 1.6635728024131825e-04 3.3423042492938307e-03 3.4177222227650302e-02 2.6079472157600792e-01 3.2034982134604262e-01 2.3158402105451545e-02 1.0826808347882231e-03 3.2851978233029677e-05 6.1206242081812179e-07 9.3034375120389251e-09 1.6738779779779835e-10 5.1295974040952965e-12 3.6748186374553946e-13 7.8182446450549149e-14
-2.2844213826731574e-02 2.1439060617124486e-02 5.9087052763611633e-03 -3.7789962681840177e-03 6.0807076689082647e-17 1.0000000000000000e+00 8.9313734528389976e-02 2.8955027744538460e+00 3.8298214490686911e-23 6.6525044783311458e-22 8.5663651656920470e-20 5.2316364076150178e-17 8.4437427125120200e-14 1.8599989069486028e-10 2.8585120631273686e-07 1.7645136079812358e-04 2.5852521923712683e-02 3.1218616187978643e-01 2.8680845838565761e-01 3.2437594794256917e-02 3.4204448810449346e-04 4.8376067210629839e-07 2.2545515928768475e-10 8.7182917663126170e-14 5.2211424605260953e-17 8.5268613593641166e-20 6.6294052813948668e-22 3.8194577534102582e-23
-4.2128180002218296e-04 3.5243604613976361e-02 -4.7772339415125720e-04 -4.1442068364215216e-03 -1.2258769278560345e-15 1.0000000000000009e+00 3.3366878377396056e-03 3.0287863639967241e+00 5.5763498026671117e-21 7.8055284064444027e-20 6.9172623351397227e-18 2.5394858515821695e-15 2.2086681761911242e-12 2.4047261919343821e-09 1.7095562642789397e-06 4.4901873366629409e-04 2.9421216570992698e-02 2.9910910510993660e-01 2.9590624815768229e-01 3.0222290147585124e-02 3.7929269527045589e-04 7.7951660643867900e-07 4.7486760123969051e-10 1.8532055870751996e-13 1.0182070193355726e-16 1.5770067158275618e-19 1.2103916997754780e-21 6.9932497146239431e-23
-8.1123909836399749e-02 5.6993863283254551e-02 8.8615950730603858e-03 -2.8665762974133687e-03 -1.3075850467512058e-16 9.9999999999999989e-01 1.5743570160983356e-01 3.3948934610160717e+00 1.1050226058388467e-17 9.5816457367417732e-17 3.7653769249016458e-15 4.7415811511766656e-13 1.2103954452207631e-10 3.7114556338359165e-08 8.0684299257306292e-06 7.9889789578541938e-04 2.6392479419585627e-02 3.2633528716835253e-01 2.5546147143142184e-01 3.7101189719756004e-02 9.3741676770703547e-04 5.2930272127404228e-06 1.1555169475855999e-08 1.9123875279889109e-11 4.5627260809767497e-14 2.6222921307309164e-16 5.4704733481906299e-18 5.6865691309924186e-19
9.8631852039252593e-02 7.0510292891821976e-03 -1.7278761476575411e-02 -1.4811028894093688e-03 -1.0779011523407878e-17 1.0000000000000002e+00 -2.2263322263597274e-01 3.0751629592383032e+00 5.4801414647430740e-18 4.8101442117346323e-17 1.9341514469943542e-15 2.5230851859241943e-13 6.7702509198265296e-11 2.2251057394596311e-08 5.4520630398858746e-06 7.3767629969227820e-04 3.6417603006922365e-02 2.6392892917333899e-01 3.5401784783742424e-01 2.0331107564663421e-02 4.3777436374369064e-04 3.2955966895321277e-06 1.1987347393163008e-08 3.2622084492631350e-11 1.1090139666032323e-13 7.9121563122051175e-16 1.8703646559070462e-17 2.0708433004762741e-18
8.6549803474970759e-03 5.8321958657709949e-02 2.6177999039064516e-04 -3.5932208665341945e-03 -2.9991494020992984e-15 9.9999999999998623e-01 -2.3610530796270165e-02 3.4086257234937274e+00 2.6271712810776414e-18 2.3663414815534812e-17 1.0107217461481479e-15 1.4810259458894976e-13 4.8096425920013340e-11 2.0474839241587599e-08 6.4612926563434896e-06 8.7922277394725571e-04 3.2584743540811062e-02 2.8358525147756719e-01 2.9642506394740198e-01 3.0274709579074983e-02 9.5058957011742067e-04 1.0425167689489996e-05 5.5164194031417139e-08 2.1287630709893174e-10 9.8793188947150955e-13 9.1161395330354996e-15 2.6018571867559807e-16 3.2109843557800391e-17
-3.6254612749605973e-02 5.4458307520084091e-02 3.1485323226814995e-03 -2.9219040594200846e-03 1.8104592393852678e-16 9.9999999999999989e-01 2.2737733960813106e-01 3.6179985227152005e+00 7.2521559217082095e-16 4.4712861962421428e-15 9.9054560455737457e-14 5.9491084659896454e-12 6.6731423579650140e-10 9.1218322646733246e-08 9.9642691848051968e-06 6.7665784946162062e-04 2.5395161656362190e-02 3.1670657397947999e-01 2.6686131820408787e-01 3.4658051506910696e-02 2.0553903035043725e-03 5.7530753257379783e-05 8.3280249287268791e-07 8.9576526764902151e-09 1.1030291617419258e-10 2.3687193737533504e-12 1.2801522648342129e-13 2.2980536287166023e-14
7.6589758394793412e-03 3.3229181180520713e-02 -1.7518077037658054e-03 -2.8283387673270679e-03 -6.9367312091573044e-17 1.0000000000000002e+00 -1.0755415031363214e-01 3.3195940991741919e+00 1.8497607530359882e-15 1.1764738998019463e-14 2.7307408156438573e-13 1.7195269776822363e-11 1.9848190664417250e-09 2.6785978639475026e-07 2.6685429691523796e-05 1.3354661530122177e-03 3.0890562815691979e-02 2.8935908279624489e-01 3.0639017212063180e-01 2.6675254995894335e-02 6.1954603497170664e-04 8.1498795355870833e-06 5.9885433643081250e-08 3.4145856298828527e-10 2.3763484627467563e-12 3.1759994334244780e-14 1.2111187703940448e-15 1.7776846059270039e-16
